"Term","Contextual note","Time/Region","References"
"flip","Racial slur used against Filipinos.","Philippines,  Asian American history","Wikipedia  – List of ethnic slurs [37]"
"fritz fricc frycc  fricis","Derogatory slang for Germans","Germany,  Europe","Wikipedia  – List of ethnic slurs [38]"
"frog froggy frog eater","Pejorative for French people","France,  Europe","Wikipedia  – List of ethnic slurs [39]"
"gabacho","Derogatory Spanish term for French  people","Spain,  France, Europe","Wikipedia  – List of ethnic slurs [40]"
"gaijin","Japanese term for non-Japanese people","","Wikipedia  – List of ethnic slurs [41]"
"gammon","Contemporary slang insult in the UK  referring to white people, especially older white men who support the  political right.","2012-,  UK","Wikipedia  – List of ethnic slurs [42] Wikipedia  – Gammon (insult) [43]"
"godon","French pejorative for English people","France,  UK","Wikipedia  – List of ethnic slurs [44]"
"gook/s gook-eye  gooky","Pejorative for East Asians used in the  USA. Dates back to 1920, especially used for enemy soldiers.","USA,  1920-, Asian American history","Wikipedia  – List of ethnic slurs [45]"
"greaseball/s greaser/s","Derogatory term used in the  Southwestern USA to refer to Hispanic and Mediterranean/ Southern European  people. It has taken on less derogatory connotations since the 1950s.","USA,  Hispanic history, Europe","Wikipedia  – List of ethnic slurs [46]"
"gringo","Spanish word for English speakers, more  often used in Latin America","Latin  America","Wikipedia  – List of ethnic slurs [47]"
"gub gubba","Aboriginal term for white people in  Australia","Australia","Wikipedia  – List of ethnic slurs [48]"
"guiri","Spanish term for non-Spaniards.","Spain","Wikipedia  – List of ethnic slurs [49]"
"guido guidette","Term used in the USA to refer to  Italian Americans as a working class stereotype for Italian Americans.","USA","Wikipedia  – List of ethnic slurs [50]"
"guinea ginzo  guinea negro","Derogatory term for Italian people,  likely deriving from the term “Guinea negro”. Dates back to World War Two.","Italy,  Europe, WWII, Guinea","Wikipedia  – List of ethnic slurs [51]"
"gusano","Term used in Cuba for people fleeing  the Cuban Revolution","Cuba","Wikipedia  – List of ethnic slurs [52]"
"gweilo gwailo kwai lo","Term used for white men in Southern  mainland China and Hong Kong. Loosely translated as “foreign devil”’.  Considered xenophobic.","China,  Hong Kong","Wikipedia  – List of ethnic slurs [53]"
"gwer","North African term for white people","","Wikipedia  – List of ethnic slurs [54]"
"hajii hadji  haji","Term used in the USA military for  Iraqis, Arabs, Afghans, or Middle Eastern and South Asian people","","Wikipedia  – List of ethnic slurs [55]"
"Hispanic Americans (LCSH)","","USA","Cataloging  Lab - Problem LCSH [56]"
"inyenzi inzoka","During the Rwandan genocide, the  dehumanising terms “inzoka” meaning  “snakes” and “inyenzi” meaning  “cockroach” was used to refer to the Tutsi people, implying they were “as  hard to kill as cockroaches”.","Rwanda","Wikipedia  – List of ethnic slurs [57]"
"Illegal immigration (LCSH)","Undocumented immigration.","USA","Cataloging  Lab - Problem LCSH [58]"
"kutcha butcha chee-chee chee chee chi-chi chi chi","“Kutcha  butcha” is a Hindi phrase that means “half baked bread”, which, along with  “chee chee”, is a slur towards people of mixed Indian and European ancestry.","South  Asia, mixed race history",""
"Madrasi Madrassi","Outdated exonym for people of South  India (named for the city of Madras, modern-day Chennai), used as a regional  slur against people from southern India.","South  Asia, India","Owl  apps – List of ethnic slurs by ethnicity [59]"
"mambet","In  Russia, a derogatory term to refer to the people of Central Asian descent or  the people of other minority republics located within Russia, who are thought  to be uneducated, have limited Russian language skills, etc.","Russia","Kadir  O."
